File Date,Circuit Cases Filed,District Cases Filed
2019 Q1,1673,4935
2019 Q2,1862,5568
2019 Q3,1644,5229
2019 Q4,1541,4531
2020 Q1,1246,4646
2020 Q2,601,3066
2020 Q3,1099,3717
2020 Q4,1264,3332
2021 Q1,1028,3157
2021 Q2,1256,3541
2021 Q3,1051,3702
2021 Q4,950,3446
2022 Q1,903,3238
2022 Q2,948,3737
2022 Q3,1044,3756
2022 Q4,948,3328
2023 Q1,972,3529
2023 Q2,1149,3600
2023 Q3,1040,3788
2023 Q4,1139,3574
2024 Q1,1196,3899
2024 Q2,1111,3866
2024 Q3,1166,3817
2024 Q4,1197,3419
2025 Q1,1167,3400
2025 Q2,1132,3797
2025 Q3,1182,3786
2025 Q4,1152,3469
