,Percent Declined,Percent Dismissed
2019 Q1,26.7%,1.9%
2019 Q2,28.3%,2.1%
2019 Q3,27.1%,0.8%
2019 Q4,32.7%,1.6%
2020 Q1,33.7%,1.6%
2020 Q2,33.0%,10.0%
2020 Q3,37.0%,2.2%
2020 Q4,32.8%,3.4%
2021 Q1,38.2%,5.5%
2021 Q2,34.8%,0.6%
2021 Q3,30.4%,0.8%
2021 Q4,30.0%,0.7%
2022 Q1,25.7%,1.0%
2022 Q2,27.7%,0.7%
2022 Q3,27.4%,2.4%
2022 Q4,32.7%,1.4%
2023 Q1,32.4%,1.3%
2023 Q2,26.0%,0.5%
2023 Q3,26.0%,2.2%
2023 Q4,26.2%,1.4%
2024 Q1,29.8%,1.6%
2024 Q2,24.5%,1.0%
2024 Q3,23.9%,1.0%
2024 Q4,24.2%,0.5%
2025 Q1,27.8%,0.3%
2025 Q2,26.4%,0.7%
2025 Q3,26.4%,0.2%
2025 Q4,28.2%,0.6%
