,Percent Declined,Percent Dismissed
2019 Q1,49.7%,22.7%
2019 Q2,49.8%,23.7%
2019 Q3,48.6%,20.3%
2019 Q4,45.2%,22.5%
2020 Q1,52.9%,29.2%
2020 Q2,70.5%,46.9%
2020 Q3,60.4%,17.7%
2020 Q4,60.2%,20.1%
2021 Q1,60.6%,17.6%
2021 Q2,60.3%,38.7%
2021 Q3,62.8%,44.0%
2021 Q4,66.3%,20.4%
2022 Q1,69.6%,27.0%
2022 Q2,67.8%,28.9%
2022 Q3,65.5%,25.4%
2022 Q4,68.0%,27.6%
2023 Q1,65.9%,24.8%
2023 Q2,65.5%,20.8%
2023 Q3,62.0%,16.8%
2023 Q4,62.8%,20.0%
2024 Q1,62.3%,22.7%
2024 Q2,65.0%,18.7%
2024 Q3,61.7%,15.2%
2024 Q4,37.6%,9.5%
2025 Q1,69.0%,11.7%
2025 Q2,70.2%,7.9%
2025 Q3,68.4%,6.1%
2025 Q4,65.3%,6.8%
