Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2019 Q1,233.4957,188.0000
2019 Q2,225.1198,173.0000
2019 Q3,200.5996,167.0000
2019 Q4,194.1523,159.0000
2020 Q1,187.1753,168.0000
2020 Q2,160.1111,155.0000
2020 Q3,271.2209,248.5000
2020 Q4,342.4419,315.5000
2021 Q1,354.5211,280.0000
2021 Q2,391.8750,332.5000
2021 Q3,401.5738,377.0000
2021 Q4,374.7789,328.0000
2022 Q1,389.5692,319.0000
2022 Q2,380.9392,331.0000
2022 Q3,405.1554,326.0000
2022 Q4,329.6851,226.5000
2023 Q1,279.9539,199.0000
2023 Q2,270.2232,196.5000
2023 Q3,249.9613,197.5000
2023 Q4,253.8156,202.5000
2024 Q1,253.4492,193.0000
2024 Q2,235.9629,196.0000
2024 Q3,236.9024,189.0000
2024 Q4,187.0000,169.0000
2025 Q1,187.5822,171.0000
2025 Q2,163.0298,145.0000
2025 Q3,169.2625,140.5000
2025 Q4,157.2702,130.0000
