Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2019 Q1,438,148,586,74.7440273,25.2559727
2019 Q2,425,148,573,74.17102967,25.82897033
2019 Q3,400,119,519,77.07129094,22.92870906
2019 Q4,365,135,500,73,27
2020 Q1,267,93,360,74.16666667,25.83333333
2020 Q2,11,1,12,91.66666667,8.333333333
2020 Q3,95,4,99,95.95959596,4.04040404
2020 Q4,92,9,101,91.08910891,8.910891089
2021 Q1,80,11,91,87.91208791,12.08791209
2021 Q2,173,4,177,97.74011299,2.259887006
2021 Q3,461,10,471,97.87685775,2.123142251
2021 Q4,526,26,552,95.28985507,4.710144928
2022 Q1,323,46,369,87.53387534,12.46612466
2022 Q2,473,32,505,93.66336634,6.336633663
2022 Q3,382,20,402,95.02487562,4.975124378
2022 Q4,284,30,314,90.44585987,9.554140127
2023 Q1,270,63,333,81.08108108,18.91891892
2023 Q2,263,67,330,79.6969697,20.3030303
2023 Q3,231,52,283,81.6254417,18.3745583
2023 Q4,223,47,270,82.59259259,17.40740741
2024 Q1,223,73,296,75.33783784,24.66216216
2024 Q2,258,95,353,73.0878187,26.9121813
2024 Q3,233,42,275,84.72727273,15.27272727
2024 Q4,186,19,205,90.73170732,9.268292683
