Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2019 Q1,1175,345,1520,77.30263158,22.69736842
2019 Q2,1067,360,1427,74.77224947,25.22775053
2019 Q3,1180,317,1497,78.8243153,21.1756847
2019 Q4,1143,255,1398,81.75965665,18.24034335
2020 Q1,743,225,968,76.75619835,23.24380165
2020 Q2,68,36,104,65.38461538,34.61538462
2020 Q3,372,41,413,90.07263923,9.927360775
2020 Q4,416,51,467,89.07922912,10.92077088
2021 Q1,337,49,386,87.30569948,12.69430052
2021 Q2,564,57,621,90.82125604,9.178743961
2021 Q3,559,59,618,90.45307443,9.546925566
2021 Q4,745,74,819,90.96459096,9.035409035
2022 Q1,442,44,486,90.94650206,9.053497942
2022 Q2,524,62,586,89.41979522,10.58020478
2022 Q3,466,66,532,87.59398496,12.40601504
2022 Q4,386,48,434,88.94009217,11.05990783
2023 Q1,432,57,489,88.34355828,11.65644172
2023 Q2,452,64,516,87.59689922,12.40310078
2023 Q3,616,101,717,85.91352859,14.08647141
2023 Q4,584,82,666,87.68768769,12.31231231
2024 Q1,644,93,737,87.38127544,12.61872456
2024 Q2,669,79,748,89.43850267,10.56149733
2024 Q3,505,70,575,87.82608696,12.17391304
2024 Q4,207,32,239,86.61087866,13.38912134
