Disposition Quarter,Number of cases with no continuances,Number of cases with at least one continuance,Total Cases,Percent of cases with at 3+ continuances
2019 Q1,1585,158,1743,9.064830752
2019 Q2,1546,139,1685,8.24925816
2019 Q3,1650,74,1724,4.292343387
2019 Q4,1552,66,1618,4.079110012
2020 Q1,1074,41,1115,3.677130045
2020 Q2,92,8,100,8
2020 Q3,391,31,422,7.345971564
2020 Q4,422,83,505,16.43564356
2021 Q1,361,45,406,11.08374384
2021 Q2,598,94,692,13.58381503
2021 Q3,580,215,795,27.04402516
2021 Q4,737,259,996,26.00401606
2022 Q1,558,137,695,19.71223022
2022 Q2,782,115,897,12.82051282
2022 Q3,719,75,794,9.445843829
2022 Q4,595,31,626,4.952076677
2023 Q1,666,23,689,3.338171263
2023 Q2,710,13,723,1.798063624
2023 Q3,939,9,948,0.949367089
2023 Q4,893,4,897,0.445930881
2024 Q1,991,7,998,0.701402806
2024 Q2,1055,6,1061,0.565504241
2024 Q3,827,0,827,0
2024 Q4,431,1,432,0.231481481
