Disposition Quarter,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2019 Q1,108.7418546,80
2019 Q2,114.4945698,85.33333333
2019 Q3,131.918254,108.5
2019 Q4,154.5541667,126
2020 Q1,148.8875,130.3333333
2020 Q2,155.6041667,141
2020 Q3,197.3571429,198.5
2020 Q4,259.6071429,251.1666667
2021 Q1,296.2225275,280.3333333
2021 Q2,278.2653846,259
2021 Q3,269.1264957,291.3333333
2021 Q4,282.0111111,301.1666667
2022 Q1,262.3730159,264.1666667
2022 Q2,264.3619048,224.1666667
2022 Q3,242.8619048,214.3333333
2022 Q4,304.2666667,265.1666667
2023 Q1,254.3888889,203.1666667
2023 Q2,187.3888889,131.5
2023 Q3,152.1388889,94.66666667
2023 Q4,169.9722222,130.3333333
2024 Q1,214.4428105,162.6666667
2024 Q2,175.6928105,153.5
2024 Q3,216.1039216,170.8333333
2024 Q4,191.0878788,117.8333333
2025 Q1,218.3818182,110
