Disposition Year,No conviction,Conviction,Total,
2019 Q1,89,146,235,
2019 Q2,100,166,266,
2019 Q3,93,134,227,
2019 Q4,78,161,239,
2020 Q1,60,114,174,
2020 Q2,15,12,27,
2020 Q3,44,23,67,
2020 Q4,56,26,82,
2021 Q1,60,30,90,
2021 Q2,69,71,140,
2021 Q3,90,136,226,
2021 Q4,122,147,269,
2022 Q1,84,107,191,
2022 Q2,111,167,278,
2022 Q3,108,124,232,
2022 Q4,88,98,186,
2023 Q1,92,106,198,
2023 Q2,90,99,189,
2023 Q3,98,68,166,
2023 Q4,90,80,170,
2024 Q1,107,84,191,
2024 Q2,82,150,232,
2024 Q3,39,155,194,
2024 Q4,31,101,132,
