FilingQuarter,Felony,Misdemeanor,Traffic
2019 Q1,170,1179,96
2019 Q2,203,1130,71
2019 Q3,177,935,62
2019 Q4,192,954,67
2020 Q1,181,884,44
2020 Q2,70,377,5
2020 Q3,128,572,10
2020 Q4,146,455,14
2021 Q1,111,585,8
2021 Q2,149,663,16
2021 Q3,149,636,17
2021 Q4,113,723,29
2022 Q1,133,635,6
2022 Q2,152,765,33
2022 Q3,151,827,32
2022 Q4,106,740,31
2023 Q1,162,728,55
2023 Q2,134,644,26
2023 Q3,153,678,55
2023 Q4,176,866,42
2024 Q1,131,712,39
2024 Q2,149,721,41
2024 Q3,131,762,39
2024 Q4,113,666,38
2025 Q1,133,713,35
2025 Q2,118,683,41
2025 Q3,123,729,63
2025 Q4,120,602,55
2026 Q1,123,657,51
2026 Q2,171,910,54
