Dispo_month,Dispo_year,Plea,Conviction (any means),PBJ,Dismissal
6,2017,2,2,0,0
7,2017,1,1,0,0
8,2017,2,2,0,0
9,2017,0,1,0,0
10,2017,1,2,0,1
11,2017,1,1,0,3
12,2017,3,3,0,0
1,2018,2,4,0,1
2,2018,2,3,0,0
3,2018,1,2,0,0
4,2018,4,6,0,0
5,2018,5,5,0,2
6,2018,5,5,0,1
7,2018,0,0,0,1
8,2018,3,3,0,1
9,2018,3,4,1,1
10,2018,3,3,1,2
11,2018,2,2,0,0
12,2018,2,4,0,0
1,2019,1,1,0,0
2,2019,1,3,0,2
3,2019,3,3,0,0
4,2019,4,5,0,0
5,2019,4,5,0,0
6,2019,2,4,0,0
7,2019,4,5,1,0
8,2019,2,2,1,2
9,2019,6,6,0,1
10,2019,2,2,0,0
11,2019,7,7,0,0
12,2019,4,4,0,0
1,2020,2,2,0,0
2,2020,2,2,0,0
3,2020,2,2,0,0
6,2020,2,2,1,0
7,2020,0,0,0,0
8,2020,6,6,0,0
9,2020,6,6,0,1
10,2020,3,3,0,0
11,2020,3,4,1,0
12,2020,0,0,0,1
1,2021,0,0,0,0
2,2021,4,4,0,0
3,2021,2,2,0,0
4,2021,5,5,0,0
5,2021,2,2,0,0
6,2021,1,1,0,1
7,2021,5,5,0,0
8,2021,2,3,0,0
9,2021,4,4,0,0
10,2021,3,3,0,0
11,2021,3,3,0,0
12,2021,4,4,0,0
2,2022,3,3,0,0
3,2022,3,3,0,0
4,2022,1,1,1,0
5,2022,0,0,0,1
6,2022,0,0,0,0
7,2022,1,1,0,0
8,2022,1,2,0,0
9,2022,2,2,0,0
11,2022,0,0,0,0
1,2023,0,0,0,0
3,2023,1,1,0,0
Missing,Missing,336,369,0,2
