File Date,Circuit Cases Actual,District Cases Actual,Average Circuit Court Cases Filed per Prosecutor,Average District Court Cases per Prosecutor
2019 Q1,14,499.6667,14.3269,389.25
2019 Q2,14.6538,278.8333,14.2735,383.5833
2019 Q3,14.1667,372.25,15.4856,276.7897
2019 Q4,17.6364,179.2857,14.0296,239.2738
2020 Q1,10.2857,166.2857,10.8715,160.0238
2020 Q2,4.6923,134.5,8.3075,145.0238
2020 Q3,9.9444,134.2857,6.9777,138.0619
2020 Q4,6.2963,145.4,8.1329,138.5063
2021 Q1,8.1579,135.8333,7.8847,139.3159
2021 Q2,9.2,136.7143,9.786,132.6111
2021 Q3,12,125.2857,13.5429,135.5
2021 Q4,19.4286,144.5,13.4929,118.0026
2022 Q1,9.05,84.2222,13.2959,156.0741
2022 Q2,11.4091,239.5,10.8652,157.2407
2022 Q3,12.1364,148,11.9187,168.8333
2022 Q4,12.2105,119,12.7423,137.0556
2023 Q1,13.88,144.1667,15.0045,157.1389
2023 Q2,18.9231,208.25,16.051,189.0556
2023 Q3,15.35,214.75,16.4561,178.8333
2023 Q4,15.0952,113.5,15.2226,164.125
