Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2019 Q1,181.1966,140
2019 Q2,181.2655,130
2019 Q3,213.3868,160.5
2019 Q4,227.9145,163
2020 Q1,172.2385,144
2020 Q2,207,161
2020 Q3,259.1053,212.5
2020 Q4,268.8081,262
2021 Q1,304.4674,216
2021 Q2,262.4538,217
2021 Q3,291.313,219
2021 Q4,254.4444,189.5
2022 Q1,310.2941,207
2022 Q2,289.8372,185
2022 Q3,266.405,179
2022 Q4,256.2027,180.5
2023 Q1,298.322,204.5
2023 Q2,241.2778,173
2023 Q3,262.1552,178.5
2023 Q4,278.7727,187
2024 Q1,251.9905,170
2024 Q2,268.8981,173.5
2024 Q3,222.8515,157
2024 Q4,243.1895,185
2025 Q1,235.5766,164
2025 Q2,199.1868,168
2025 Q3,209.2278,158
2025 Q4,235.125,171
2026 Q1,203.5714,158
2026 Q2,167.6228,140
