Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2019 Q1,796,56,852,93.42723005,6.572769953
2019 Q2,904,66,970,93.19587629,6.804123711
2019 Q3,881,41,922,95.55314534,4.446854664
2019 Q4,685,23,708,96.75141243,3.248587571
2020 Q1,721,24,745,96.77852349,3.22147651
2020 Q2,77,3,80,96.25,3.75
2020 Q3,457,12,469,97.44136461,2.558635394
2020 Q4,360,1,361,99.72299169,0.27700831
2021 Q1,243,15,258,94.18604651,5.813953488
2021 Q2,569,26,595,95.6302521,4.369747899
2021 Q3,629,22,651,96.62058372,3.379416283
2021 Q4,504,7,511,98.63013699,1.369863014
2022 Q1,443,14,457,96.93654267,3.06345733
2022 Q2,598,12,610,98.03278689,1.967213115
2022 Q3,596,17,613,97.22675367,2.77324633
2022 Q4,588,7,595,98.82352941,1.176470588
2023 Q1,654,16,670,97.6119403,2.388059701
2023 Q2,656,16,672,97.61904762,2.380952381
2023 Q3,620,12,632,98.10126582,1.898734177
2023 Q4,597,48,645,92.55813953,7.441860465
