File Date,Average Felony Cases per Prosecutor,Average Misdemeanor Cases per Prosecutor
Jun 2017,1.62,0
Jul 2017,1.8,0
Aug 2017,2.25,0.25
Sep 2017,1,0.2
Oct 2017,1.25,0.42
Nov 2017,2.25,0
Dec 2017,1.14,0
Jan 2018,2,0.1
Feb 2018,2,0
Mar 2018,1.38,0.38
Apr 2018,1.38,0.12
May 2018,1.6,0.4
Jun 2018,1.89,0.44
Jul 2018,1.31,0.08
Aug 2018,2.08,0.15
Sep 2018,1.08,0.5
Oct 2018,1.9,0.5
Nov 2018,2.71,0.14
Dec 2018,2.33,0
Jan 2019,1.47,0.67
Feb 2019,1.5,0.17
Mar 2019,1.88,0.25
Apr 2019,1.83,0.42
May 2019,1.56,0.22
Jun 2019,1.3,0.2
Jul 2019,1.78,0.22
Aug 2019,2.56,0.22
Sep 2019,1.75,0.25
Oct 2019,1.73,0.82
Nov 2019,1.8,0.4
Dec 2019,1.88,0.25
Jan 2020,2.43,0.43
Feb 2020,2.11,0.89
Mar 2020,2.5,0.3
Apr 2020,1.5,0.17
May 2020,1.5,0.67
Jun 2020,0.57,0.43
Jul 2020,1,0.88
Aug 2020,1.67,0.78
Sep 2020,1.91,0.27
Oct 2020,0.9,0.9
Nov 2020,1.67,0.33
Dec 2020,2.43,0.29
Jan 2021,1.67,0.33
Feb 2021,2.14,0.14
Mar 2021,1.67,0.56
Apr 2021,1,0.46
May 2021,1.12,0.12
Jun 2021,0.78,0.44
Jul 2021,1.4,0.5
Aug 2021,1,0.67
Sep 2021,0.88,0.88
Oct 2021,1.17,0.67
Nov 2021,0.92,0.58
Dec 2021,0.83,1
Jan 2022,1.3,0.2
Feb 2022,1.29,0.14
Mar 2022,1.73,0.45
Apr 2022,1.17,0.33
May 2022,1.62,0.38
Jun 2022,1.71,0
Jul 2022,1.5,0
Aug 2022,0.7,0.3
Sep 2022,1.25,0
Oct 2022,0.8,1.2
Nov 2022,0.8,0.6
Dec 2022,0.67,1
Jan 2023,0.33,1.5
Feb 2023,0.5,1.25
Mar 2023,0.33,0.67
,,
,,
