File Date,Percent of Filed Cases with a Felony Top Charge
Jun-17,100.00%
Jul-17,100.00%
Aug-17,88.00%
Sep-17,83.00%
Oct-17,76.00%
Nov-17,95.00%
Dec-17,100.00%
Jan-18,92.00%
Feb-18,100.00%
Mar-18,78.00%
Apr-18,92.00%
May-18,85.00%
Jun-18,82.00%
Jul-18,95.00%
Aug-18,94.00%
Sep-18,71.00%
Oct-18,80.00%
Nov-18,95.00%
Dec-18,100.00%
Jan-19,67.00%
Feb-19,90.00%
Mar-19,88.00%
Apr-19,82.00%
May-19,82.00%
Jun-19,87.00%
Jul-19,89.00%
Aug-19,89.00%
Sep-19,82.00%
Oct-19,66.00%
Nov-19,80.00%
Dec-19,80.00%
Jan-20,86.00%
Feb-20,70.00%
Mar-20,89.00%
Apr-20,82.00%
May-20,71.00%
Jun-20,62.00%
Jul-20,53.00%
Aug-20,68.00%
Sep-20,88.00%
Oct-20,50.00%
Nov-20,83.00%
Dec-20,89.00%
Jan-21,83.00%
Feb-21,83.00%
Mar-21,75.00%
Apr-21,70.00%
May-21,90.00%
Jun-21,64.00%
Jul-21,70.00%
Aug-21,60.00%
Sep-21,50.00%
Oct-21,58.00%
Nov-21,65.00%
Dec-21,45.00%
Jan-22,87.00%
Feb-22,90.00%
Mar-22,79.00%
Apr-22,78.00%
May-22,76.00%
Jun-22,100.00%
Jul-22,100.00%
Aug-22,70.00%
Sep-22,83.00%
Oct-22,40.00%
Nov-22,57.00%
Dec-22,33.00%
Jan-23,18.00%
Feb-23,25.00%
Mar-23,33.00%
