Disposition Quarter,Number of cases with no continuances,Number of cases with at least one continuance,Total Cases,Percent of cases with at 3+ continuances
2019 Q1,1631,72,1703,4.227833235
2019 Q2,1779,73,1852,3.941684665
2019 Q3,1858,68,1926,3.530633437
2019 Q4,1623,57,1680,3.392857143
2020 Q1,1515,58,1573,3.687221869
2020 Q2,329,2,331,0.604229607
2020 Q3,1130,22,1152,1.909722222
2020 Q4,894,21,915,2.295081967
2021 Q1,655,18,673,2.674591382
2021 Q2,1357,26,1383,1.879971077
2021 Q3,1594,27,1621,1.665638495
2021 Q4,1226,26,1252,2.076677316
2022 Q1,952,19,971,1.956745623
2022 Q2,1335,36,1371,2.625820569
2022 Q3,1337,22,1359,1.61883738
2022 Q4,1244,28,1272,2.201257862
2023 Q1,1403,40,1443,2.772002772
2023 Q2,1274,30,1304,2.300613497
2023 Q3,1284,29,1313,2.208682407
2023 Q4,1327,16,1343,1.191362621
