Date Filed,Black,White,Hispanic,Black defendant more likely,Hispanic defendant more likely
2018 Q1,37.00%,36.00%,50.00%,1.00%,14.00%
2018 Q2,62.00%,52.00%,33.00%,10.00%,-19.00%
2018 Q3,56.00%,52.00%,25.00%,4.00%,-27.00%
2018 Q4,38.00%,46.00%,0.00%,-8.00%,-46.00%
2019 Q1,40.00%,62.00%,25.00%,-22.00%,-37.00%
2019 Q2,52.00%,22.00%,25.00%,30.00%,3.00%
2019 Q3,27.00%,28.00%,0.00%,-1.00%,-28.00%
2019 Q4,40.00%,31.00%,62.00%,9.00%,31.00%
2020 Q1,36.00%,32.00%,50.00%,4.00%,18.00%
2020 Q2,55.00%,29.00%,50.00%,26.00%,21.00%
2020 Q3,31.00%,23.00%,20.00%,8.00%,-3.00%
2020 Q4,36.00%,31.00%,50.00%,5.00%,19.00%
2021 Q1,22.00%,29.00%,50.00%,-7.00%,21.00%
2021 Q2,46.00%,44.00%,67.00%,2.00%,23.00%
2021 Q3,56.00%,24.00%,50.00%,32.00%,26.00%
2021 Q4,38.00%,22.00%,0.00%,16.00%,-22.00%
2022 Q1,42.00%,32.00%,60.00%,10.00%,28.00%
2022 Q2,35.00%,40.00%,40.00%,-5.00%,0.00%
2022 Q3,75.00%,33.00%,67.00%,42.00%,34.00%
2022 Q4,33.00%,50.00%,33.00%,-17.00%,-17.00%
