File Date,No Charge Reduction,Charge Reduction,Total Cases,Percent of Felony Cases with only Misdemeanor Convictions
2019 Q1,182,43,225,19.11111111
2019 Q2,214,49,263,18.63117871
2019 Q3,204,32,236,13.55932203
2019 Q4,152,42,194,21.64948454
2020 Q1,163,31,194,15.97938144
2020 Q2,15,11,26,42.30769231
2020 Q3,139,36,175,20.57142857
2020 Q4,94,43,137,31.38686131
2021 Q1,110,26,136,19.11764706
2021 Q2,130,45,175,25.71428571
2021 Q3,125,41,166,24.69879518
2021 Q4,115,43,158,27.21518987
2022 Q1,137,31,168,18.45238095
2022 Q2,139,28,167,16.76646707
2022 Q3,165,36,201,17.91044776
2022 Q4,138,32,170,18.82352941
2023 Q1,182,51,233,21.88841202
2023 Q2,180,32,212,15.09433962
2023 Q3,178,47,225,20.88888889
2023 Q4,215,44,259,16.98841699
