Date Filed,Violent Crime,Non-violent crime,Missing
Jan-18,47,136,0
Feb-18,41,91,0
Mar-18,49,110,0
Apr-18,44,107,2
May-18,45,98,0
Jun-18,53,123,0
Jul-18,45,102,0
Aug-18,54,98,1
Sep-18,35,92,0
Oct-18,59,108,0
Nov-18,35,82,1
Dec-18,43,73,0
Jan-19,58,113,6
Feb-19,50,117,3
Mar-19,50,117,3
Apr-19,53,106,8
May-19,38,117,9
Jun-19,48,112,8
Jul-19,44,118,11
Aug-19,65,105,19
Sep-19,44,93,9
Oct-19,51,95,21
Nov-19,36,83,8
Dec-19,41,103,2
Jan-20,41,80,3
Feb-20,45,115,11
Mar-20,31,65,0
Apr-20,11,9,0
May-20,20,21,2
Jun-20,74,72,4
Jul-20,40,35,5
Aug-20,50,87,16
Sep-20,58,67,98
Oct-20,55,84,14
Nov-20,44,45,4
Dec-20,34,46,6
Jan-21,49,56,5
Feb-21,36,42,5
Mar-21,41,66,4
Apr-21,41,64,24
May-21,43,50,14
Jun-21,34,62,12
Jul-21,53,50,16
Aug-21,37,57,21
Sep-21,44,73,21
Oct-21,41,54,103
Nov-21,87,164,75
Dec-21,60,82,182
Jan-22,58,90,8
Feb-22,54,90,7
Mar-22,51,116,1
Apr-22,50,89,4
May-22,57,101,2
Jun-22,59,109,4
Jul-22,51,92,3
Aug-22,57,68,0
Sep-22,59,82,6
Oct-22,47,83,2
Nov-22,46,73,4
Dec-22,65,96,7
