Date Filed,under 18,18-24,25-34,35-44,45+,missing/unknown
Jan-18,0,30,63,36,35,19
Feb-18,0,16,38,26,29,23
Mar-18,0,33,54,25,33,14
Apr-18,0,27,58,22,35,11
May-18,0,13,52,27,40,11
Jun-18,0,34,65,16,43,18
Jul-18,0,25,46,25,39,12
Aug-18,0,32,43,44,27,7
Sep-18,0,36,27,23,35,6
Oct-18,0,32,44,47,29,15
Nov-18,2,26,32,17,37,4
Dec-18,0,26,36,27,20,7
Jan-19,1,28,55,34,45,14
Feb-19,0,31,50,43,35,11
Mar-19,0,39,52,34,35,10
Apr-19,0,37,44,29,46,11
May-19,0,24,39,37,49,15
Jun-19,0,31,39,33,55,10
Jul-19,0,36,34,40,47,16
Aug-19,0,28,53,28,65,15
Sep-19,1,21,48,22,46,8
Oct-19,1,38,36,23,62,7
Nov-19,1,28,29,24,35,10
Dec-19,6,27,40,35,34,4
Jan-20,0,16,42,30,34,2
Feb-20,1,30,48,36,49,7
Mar-20,1,26,27,14,19,9
Apr-20,1,7,7,4,0,1
May-20,0,9,12,10,8,4
Jun-20,4,30,61,15,32,8
Jul-20,0,10,19,17,27,7
Aug-20,0,15,51,31,43,13
Sep-20,0,15,58,24,116,10
Oct-20,0,31,44,28,40,10
Nov-20,1,16,34,13,23,6
Dec-20,2,21,21,17,22,3
Jan-21,3,21,28,24,26,8
Feb-21,3,21,20,13,22,4
Mar-21,0,26,29,17,27,12
Apr-21,1,36,30,25,27,10
May-21,1,19,23,21,37,6
Jun-21,1,19,22,21,41,4
Jul-21,3,21,27,31,27,10
Aug-21,2,16,27,24,42,4
Sep-21,3,20,35,18,53,9
Oct-21,1,25,23,19,120,10
Nov-21,6,21,58,67,152,22
Dec-21,1,26,37,34,208,18
Jan-22,5,23,37,38,46,7
Feb-22,4,20,42,29,44,12
Mar-22,4,21,43,35,56,9
Apr-22,4,23,36,22,46,12
May-22,9,27,46,24,46,8
Jun-22,11,31,37,27,54,12
Jul-22,11,24,44,14,41,12
Aug-22,6,32,39,22,20,6
Sep-22,5,20,38,17,60,7
Oct-22,9,22,41,18,34,8
Nov-22,10,31,29,19,30,4
Dec-22,14,34,33,23,54,10
