Date Filed,Female,Male,Unknow/Missing
Jan-18,21,152,10
Feb-18,10,109,13
Mar-18,16,136,7
Apr-18,14,120,19
May-18,19,117,7
Jun-18,29,131,16
Jul-18,14,122,11
Aug-18,14,131,8
Sep-18,10,104,13
Oct-18,12,152,3
Nov-18,11,94,13
Dec-18,17,97,2
Jan-19,15,149,13
Feb-19,20,139,11
Mar-19,22,136,12
Apr-19,22,128,17
May-19,10,134,20
Jun-19,12,128,28
Jul-19,24,134,15
Aug-19,24,135,30
Sep-19,17,107,22
Oct-19,18,121,28
Nov-19,15,103,9
Dec-19,25,111,10
Jan-20,10,103,11
Feb-20,16,138,17
Mar-20,16,75,5
Apr-20,5,15,0
May-20,2,38,3
Jun-20,11,126,13
Jul-20,8,63,9
Aug-20,10,122,21
Sep-20,11,122,90
Oct-20,13,123,17
Nov-20,13,69,11
Dec-20,6,69,11
Jan-21,8,86,16
Feb-21,5,67,11
Mar-21,7,92,12
Apr-21,18,95,16
May-21,10,72,25
Jun-21,11,73,24
Jul-21,12,97,10
Aug-21,15,78,22
Sep-21,11,98,29
Oct-21,12,86,100
Nov-21,29,235,62
Dec-21,21,145,158
Jan-22,8,122,26
Feb-22,15,118,18
Mar-22,12,133,23
Apr-22,15,108,20
May-22,16,127,17
Jun-22,11,141,20
Jul-22,18,109,19
Aug-22,12,108,5
Sep-22,9,106,32
Oct-22,13,104,15
Nov-22,8,96,19
Dec-22,12,129,27
