Date Filed,Black,White,Hispanic,Other,Missing
Jan-18,82,58,27,2,14
Feb-18,56,29,20,11,16
Mar-18,69,39,22,18,11
Apr-18,62,41,14,14,22
May-18,70,34,14,12,13
Jun-18,81,45,21,12,17
Jul-18,68,46,8,11,14
Aug-18,71,36,17,19,10
Sep-18,40,38,23,13,13
Oct-18,78,44,20,19,6
Nov-18,46,28,13,17,14
Dec-18,53,38,12,7,6
Jan-19,71,55,23,12,16
Feb-19,81,45,20,11,13
Mar-19,85,35,21,11,18
Apr-19,90,34,11,14,18
May-19,57,54,22,11,20
Jun-19,74,40,12,11,31
Jul-19,79,43,26,7,18
Aug-19,71,40,10,21,47
Sep-19,60,38,11,10,27
Oct-19,69,42,12,15,29
Nov-19,61,28,16,11,11
Dec-19,70,35,15,13,13
Jan-20,54,36,11,8,15
Feb-20,62,60,23,8,18
Mar-20,38,23,18,10,7
Apr-20,6,10,3,1,0
May-20,22,6,9,3,3
Jun-20,67,41,18,10,14
Jul-20,43,16,3,8,10
Aug-20,69,34,16,9,25
Sep-20,77,35,11,8,92
Oct-20,74,35,14,9,21
Nov-20,47,19,11,4,12
Dec-20,34,21,11,6,14
Jan-21,44,22,11,13,20
Feb-21,40,20,7,3,13
Mar-21,53,24,12,6,16
Apr-21,50,30,17,16,16
May-21,35,27,12,6,27
Jun-21,47,22,8,7,24
Jul-21,60,24,18,8,9
Aug-21,51,26,11,6,21
Sep-21,59,24,15,10,30
Oct-21,63,23,8,3,101
Nov-21,107,63,38,11,107
Dec-21,82,41,24,11,166
Jan-22,65,36,10,9,36
Feb-22,78,18,20,8,27
Mar-22,64,41,17,12,34
Apr-22,67,32,15,1,28
May-22,85,29,19,3,24
Jun-22,82,46,15,0,29
Jul-22,60,39,15,4,28
Aug-22,62,37,12,7,7
Sep-22,62,23,15,4,43
Oct-22,75,24,15,1,17
Nov-22,56,24,18,3,22
Dec-22,92,27,11,7,31
