Date Filed,Murder,Robbery,Rape,Firearm/Weapon,Assault,Sexual Crimes,Drug,Burglary,Theft,Fraud,Other Violent Crime,Other Property Crime,Other,Transportation Offense
Jan-18,3,8,1,12,29,9,38,20,20,1,6,2,17,17
Feb-18,1,5,4,10,24,6,25,5,12,1,7,2,7,23
Mar-18,6,2,2,23,27,12,26,18,6,0,12,2,8,15
Apr-18,4,6,2,16,28,3,23,18,9,2,4,1,8,27
May-18,8,5,9,13,19,15,22,13,4,4,4,1,6,20
Jun-18,3,8,6,19,31,6,25,29,14,1,5,2,7,20
Jul-18,9,4,2,16,22,6,22,11,6,4,8,2,5,30
Aug-18,2,3,4,15,33,9,19,9,6,3,12,2,13,22
Sep-18,4,4,3,22,19,10,18,7,5,1,5,2,8,19
Oct-18,3,5,5,8,39,16,29,17,11,0,7,3,12,12
Nov-18,1,1,4,11,21,2,24,8,6,5,8,2,10,14
Dec-18,4,6,0,6,27,5,28,14,5,0,6,2,4,9
Jan-19,4,6,6,17,29,17,26,12,4,1,13,1,12,23
Feb-19,3,6,4,11,26,11,28,16,5,2,11,6,13,25
Mar-19,4,7,4,19,26,14,21,18,7,3,9,4,10,21
Apr-19,8,16,4,14,18,8,28,17,6,4,7,4,12,13
May-19,5,2,4,14,20,15,26,19,6,1,7,3,12,21
Jun-19,7,4,3,11,27,18,30,11,3,2,7,1,14,22
Jul-19,4,5,3,26,27,11,24,12,10,0,5,1,17,17
Aug-19,11,6,2,10,39,3,27,20,7,3,7,4,12,19
Sep-19,8,0,8,14,22,9,16,10,6,3,6,2,12,21
Oct-19,5,8,3,10,25,12,22,18,9,0,10,1,5,18
Nov-19,4,9,3,11,18,6,20,11,6,1,2,2,10,16
Dec-19,1,3,6,14,24,14,17,16,6,1,7,4,9,22
Jan-20,6,4,7,6,18,10,14,15,3,3,6,0,17,12
Feb-20,9,5,5,13,21,6,25,19,14,2,5,2,9,25
Mar-20,3,3,3,5,16,7,10,9,5,2,6,3,3,21
Apr-20,2,1,2,1,5,1,0,0,0,0,1,0,4,3
May-20,3,2,3,4,11,4,2,8,1,0,1,1,1,0
Jun-20,6,4,14,13,44,8,25,18,0,0,6,2,6,0
Jul-20,3,2,7,3,26,1,6,11,0,0,2,1,6,7
Aug-20,5,3,6,9,31,5,23,31,7,2,5,1,7,2
Sep-20,9,4,6,13,32,8,8,16,9,1,7,1,6,5
Oct-20,8,5,6,20,28,7,13,13,6,1,8,3,11,10
Nov-20,6,3,7,11,26,6,6,8,3,0,2,1,8,2
Dec-20,2,2,2,12,23,2,8,4,6,1,5,2,4,7
Jan-21,5,0,4,9,31,12,13,8,3,0,9,0,4,7
Feb-21,4,1,1,11,23,4,6,11,4,0,7,0,3,3
Mar-21,3,4,2,14,29,11,6,16,5,1,3,2,11,0
Apr-21,6,4,3,8,25,12,13,6,6,2,3,2,12,3
May-21,5,4,7,3,23,14,9,5,4,0,4,0,11,4
Jun-21,6,5,3,8,13,10,9,12,3,2,7,1,13,4
Jul-21,2,7,4,14,33,7,4,10,3,1,7,2,7,2
Aug-21,7,2,2,12,21,5,4,16,8,1,5,0,7,4
Sep-21,3,1,6,11,28,11,6,12,9,5,6,3,7,9
Oct-21,5,8,4,15,22,2,6,12,7,2,2,2,3,5
Nov-21,19,7,16,22,39,24,36,17,15,3,6,0,31,16
Dec-21,7,1,7,17,36,7,15,9,7,2,9,4,15,6
Jan-22,10,5,3,20,33,13,11,11,4,1,7,2,21,7
Feb-22,10,2,4,15,29,16,17,11,9,3,9,2,12,5
Mar-22,13,5,1,15,24,17,26,14,9,7,8,2,17,9
Apr-22,4,8,6,17,27,8,17,10,11,1,5,2,12,11
May-22,12,8,6,25,24,9,21,10,11,0,7,2,13,10
Jun-22,8,5,13,29,26,9,18,19,9,0,7,2,12,11
Jul-22,16,4,8,15,18,4,27,12,5,1,5,1,15,12
Aug-22,13,4,7,11,23,7,11,10,9,0,10,3,6,11
Sep-22,7,4,3,16,38,8,11,8,6,1,7,2,17,13
Oct-22,9,4,3,17,20,7,21,14,3,0,11,2,10,9
Nov-22,8,4,4,18,22,4,18,11,4,2,8,1,4,11
Dec-22,5,9,4,32,39,12,21,7,3,2,8,1,9,9
