Disposition Date,Conviction,Dismissal,Acquittal,Other Plea,Other Disposition,Missing
2018 Q1,139,21,1,3,21,2
2018 Q2,127,17,5,1,10,5
2018 Q3,115,27,7,7,9,3
2018 Q4,113,26,2,4,3,2
2019 Q1,136,27,3,1,9,5
2019 Q2,113,23,1,5,10,11
2019 Q3,120,27,11,4,10,15
2019 Q4,76,25,4,4,14,10
2020 Q1,90,20,6,4,9,10
2020 Q2,37,7,0,4,2,0
2020 Q3,92,16,2,6,2,3
2020 Q4,74,23,2,6,3,4
2021 Q1,76,14,0,8,2,1
2021 Q2,65,15,2,7,3,4
2021 Q3,81,17,2,11,0,4
2021 Q4,133,22,2,23,10,7
2022 Q1,105,15,2,26,10,9
2022 Q2,96,17,0,27,11,12
2022 Q3,63,14,1,43,6,7
2022 Q4,29,8,1,100,4,5
