Sentence Date,Misd Incarceration,Misd Supervised Probation,Misd Unsupervised Probation,Misd Other Sentence,Felony Incarceration,Felony Supervised Probation,Felony Unsupervised Probation,Felony Other Sentence,Total Incarceration Sentences,Percent of incarceration sentences involving a felony
2018 Q1,85,55,17,47,174,140,11,19,259,67.18146718
2018 Q2,78,62,11,36,178,156,9,16,256,69.53125
2018 Q3,62,50,7,47,152,129,7,9,214,71.02803738
2018 Q4,64,51,16,42,161,142,9,17,225,71.55555556
2019 Q1,75,67,5,55,197,173,11,10,272,72.42647059
2019 Q2,58,45,6,48,186,161,11,21,244,76.2295082
2019 Q3,58,42,7,58,147,132,11,22,205,71.70731707
2019 Q4,39,32,5,34,142,129,9,21,181,78.45303867
2020 Q1,44,39,6,39,99,79,12,40,143,69.23076923
2020 Q2,29,23,5,6,86,78,7,26,115,74.7826087
2020 Q3,66,54,9,22,81,72,8,50,147,55.10204082
2020 Q4,49,45,3,22,91,76,11,44,140,65
2021 Q1,31,27,4,42,73,67,2,47,104,70.19230769
2021 Q2,26,23,4,37,34,35,1,95,60,56.66666667
2021 Q3,13,11,3,67,5,4,1,106,18,27.77777778
2021 Q4,22,19,0,109,41,33,0,137,63,65.07936508
2022 Q1,15,13,0,88,26,15,0,118,41,63.41463415
2022 Q2,12,8,1,82,27,20,1,101,39,69.23076923
2022 Q3,8,5,1,55,24,20,1,41,32,75
2022 Q4,7,7,1,20,19,13,2,12,26,73.07692308
