,Convicted,Not Convicted,Top charg missing,Total,Percent of disposed sexual offenses resulting in a conviction
2018 Q1,24,9,1,27,72.7272727
2018 Q2,33,6,1,24,84.6153846
2018 Q3,22,8,3,25,73.3333333
2018 Q4,20,10,0,23,66.6666667
2019 Q1,39,17,1,44,69.6428571
2019 Q2,30,15,6,40,66.6666667
2019 Q3,18,13,2,21,58.0645161
2019 Q4,21,10,9,33,67.7419355
2020 Q1,22,11,4,23,66.6666667
2020 Q2,18,9,2,13,66.6666667
2020 Q3,16,9,4,14,64
2020 Q4,19,6,2,15,76
2021 Q1,15,10,4,27,60
2021 Q2,25,11,6,35,69.4444444
2021 Q3,15,4,10,23,78.9473684
2021 Q4,32,11,8,34,74.4186047
2022 Q1,29,5,16,42,85.2941176
2022 Q2,22,4,11,27,84.6153846
2022 Q3,8,3,14,19,72.7272727
2022 Q4,6,1,21,23,85.7142857
